player_name,unique_id,age,overall_score,height,weight,preferred_foot,best_position,player_value,weekly_wage,crossing,finishing,heading_accuracy,short_passing,volley,dribbling,curves,free_kick_accuracy,long_pass,ball_control,acceleration,sprint_speed,agility,reaction,balance,shot_power,jumping,stamina,strength,long_shot,aggression,interception,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,weak_foot,skill_moves,attacking_work_rate,defensive_work_rate,pace,shooting,passing,dribble,defense,physical
A. Robertson,216267,25,86,"5'10""",141lbs,Left,LWB,$55.4M,$153K,90,57,65,82,32,80,80,38,74,82,83,86,78,84,74,74,62,95,65,65,80,82,77,79,55,83,82,84,80,2 ★,3★,High,High,85,62,80,80,81,75
K. Havertz,235790,20,84,"6'2""",183lbs,Left,CAM,$54.8M,$79K,73,84,74,84,80,85,84,53,78,87,78,87,78,82,73,73,69,82,69,76,41,38,83,82,73,84,39,46,38,4 ★,4★,Medium,Medium,83,79,79,84,44,67
T. Courtois,192119,27,88,"6'6""",212lbs,Left,GK,$54.2M,$260K,14,14,13,33,12,13,19,20,35,23,42,52,61,82,45,56,68,38,70,17,23,15,13,44,27,66,20,18,16,3 ★,1★,Medium,Medium,83,88,74,87,48,84
S. Gnabry,206113,23,85,"5'9""",165lbs,Right,RM,$53.7M,$147K,78,85,42,79,83,87,74,62,73,83,92,77,86,84,88,86,64,78,69,81,63,38,85,83,68,80,45,44,43,4 ★,4★,High,Medium,84,83,78,86,43,70
M. Reus,188350,30,87,"5'11""",157lbs,Right,CAM,$53.7M,$158K,85,87,44,86,90,86,88,86,76,87,84,82,84,85,84,88,71,74,67,87,51,48,87,85,91,85,50,37,45,4 ★,4★,High,Medium,83,88,84,86,45,66
M. de Ligt,235243,19,85,"6'2""",196lbs,Right,CB,$53.7M,$86K,52,50,85,76,40,66,48,55,74,74,64,73,56,83,60,82,84,77,88,64,82,82,44,63,40,82,86,82,80,4 ★,2★,Medium,High,69,58,66,68,83,84
N. Fekir,216594,25,85,"5'8""",165lbs,Left,CAM,$53.1M,$49K,80,83,49,84,77,92,83,80,75,89,83,79,82,78,91,84,64,79,82,83,80,34,82,81,74,89,34,42,30,4 ★,4★,High,Medium,81,82,81,89,38,80
Parejo,189513,30,87,"6'0""",163lbs,Right,CM,$52.5M,$84K,87,82,61,91,72,81,89,91,88,86,49,35,64,80,75,81,49,81,71,85,58,80,82,86,88,85,68,72,69,4 ★,3★,Medium,Medium,41,82,89,80,71,70
N. Süle,212190,23,85,"6'5""",214lbs,Right,CB,$52.5M,$130K,34,22,86,78,33,43,28,30,69,63,52,85,33,81,32,77,38,63,93,62,83,81,26,40,32,75,85,89,87,3 ★,2★,Medium,Medium,70,42,55,49,86,81
L. Insigne,198219,28,86,"5'4""",130lbs,Right,CAM,$52M,$147K,85,76,59,86,74,90,87,77,78,93,94,85,94,83,93,78,52,72,40,84,34,26,84,88,68,83,49,24,22,4 ★,4★,High,Medium,89,78,85,91,35,47
T. Alexander-Arnold,231281,20,85,"5'11""",152lbs,Right,RWB,$52M,$105K,93,56,68,85,50,77,86,84,87,86,78,84,74,83,74,79,66,87,62,70,74,81,73,82,55,78,77,83,79,4 ★,3★,High,Medium,81,64,86,80,79,71
Rodri,231866,23,85,"6'3""",181lbs,Right,CDM,$51.4M,$164K,63,64,75,85,59,76,65,54,82,82,68,66,69,82,69,74,69,84,81,76,76,83,75,82,46,85,83,84,78,4 ★,3★,Medium,High,67,68,77,77,82,80
Koke,193747,27,86,"5'9""",170lbs,Right,CM,$51.4M,$108K,86,72,61,89,56,82,85,76,87,85,70,67,73,87,80,84,63,92,75,81,79,79,82,85,59,84,74,80,64,4 ★,3★,High,High,68,75,86,82,75,79
Luis Alberto,198706,26,85,"6'0""",163lbs,Right,CAM,$50.9M,$95K,76,77,49,90,76,86,86,81,89,88,76,72,81,80,74,77,54,73,65,76,29,50,80,88,56,72,52,62,45,3 ★,4★,Medium,Medium,74,76,86,85,54,59
J. Giménez,216460,24,85,"6'1""",176lbs,Right,CB,$50.9M,$78K,47,37,81,69,30,50,36,44,62,60,67,69,54,79,39,72,90,64,89,48,89,85,24,27,38,75,88,86,86,3 ★,2★,Medium,High,68,45,52,54,86,83
R. Mahrez,204485,28,86,"5'10""",148lbs,Left,RW,$50.9M,$260K,83,79,48,79,76,91,84,78,75,91,87,82,92,80,88,79,60,76,54,80,48,39,79,84,70,84,45,31,22,4 ★,5★,Medium,Medium,84,79,80,90,38,59
L. Martínez,231478,21,84,"5'9""",179lbs,Right,ST,$50.3M,$89K,56,86,82,74,81,86,78,43,73,84,83,83,86,84,78,79,88,78,84,72,86,45,85,77,74,83,56,31,44,4 ★,4★,High,Medium,83,81,70,85,48,83
Thiago,189509,28,86,"5'9""",154lbs,Right,CM,$49.7M,$186K,78,69,54,88,86,90,85,77,87,91,74,62,91,85,90,76,76,75,59,79,54,83,79,85,75,86,67,67,71,3 ★,5★,Medium,Medium,67,74,85,90,69,63
A. Di María,183898,31,87,"5'11""",152lbs,Left,RW,$49.7M,$181K,87,79,51,83,77,88,89,88,80,87,85,84,94,84,77,83,72,78,60,85,73,42,85,88,73,86,41,55,52,2 ★,5★,High,Medium,84,81,85,88,48,68
De Gea,193080,28,88,"6'4""",181lbs,Right,GK,$49.2M,$220K,17,13,21,50,13,18,21,19,47,38,57,58,63,86,43,59,67,43,60,12,38,30,12,65,29,68,25,21,13,3 ★,1★,Medium,Medium,90,81,78,91,58,84
S. Umtiti,205600,25,85,"6'0""",165lbs,Left,CB,$48.6M,$215K,61,51,79,79,65,64,72,62,73,77,66,69,62,80,66,83,87,68,85,70,82,86,51,58,61,82,85,86,84,3 ★,2★,Medium,High,68,62,69,69,85,80
M. Pjanić,180206,29,86,"5'10""",159lbs,Right,CM,$48M,$203K,81,56,60,90,72,86,86,92,87,89,69,67,75,84,81,78,60,83,61,82,70,78,68,88,79,86,78,76,70,4 ★,3★,Medium,Medium,68,68,87,85,75,68
M. Rashford,231677,21,84,"6'1""",154lbs,Right,RM,$47.5M,$136K,75,83,72,77,76,86,82,76,67,84,89,94,86,85,75,90,72,87,76,81,73,42,84,79,80,80,47,40,33,3 ★,5★,High,Medium,92,84,76,85,45,78
G. Donnarumma,230621,20,85,"6'5""",198lbs,Right,GK,$46.9M,$38K,12,12,12,34,8,28,12,14,24,28,46,54,64,79,38,57,72,34,72,18,30,26,14,50,24,68,20,14,16,3 ★,1★,Medium,Medium,89,81,76,89,50,83
W. Szczęsny,186153,29,87,"6'5""",198lbs,Right,GK,$46.3M,$164K,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,20,13,12,3 ★,1★,Medium,Medium,86,82,73,88,49,87
M. Hummels,178603,30,87,"6'3""",207lbs,Right,CB,$46.3M,$141K,65,55,87,81,60,69,66,53,86,81,42,66,63,87,59,71,68,65,86,51,71,91,56,80,68,89,90,88,86,3 ★,3★,High,High,55,58,76,72,89,77
Coutinho,189242,27,85,"5'8""",150lbs,Right,CAM,$45.8M,$164K,79,77,48,82,78,89,90,86,80,90,83,69,92,82,93,82,59,76,61,88,59,49,82,84,70,77,55,54,47,4 ★,5★,Medium,Medium,75,80,82,89,52,64
K. Coman,213345,23,84,"5'10""",165lbs,Right,RM,$45.8M,$130K,79,76,52,78,77,87,81,70,72,87,94,94,88,84,85,80,73,68,64,73,36,23,83,79,70,76,29,27,21,3 ★,4★,Medium,Low,94,76,77,87,29,60
Isco,197781,27,85,"5'9""",174lbs,Right,CAM,$45.8M,$249K,78,76,55,83,67,92,88,76,80,91,73,67,84,74,90,69,61,62,59,81,58,61,76,83,76,85,58,64,51,3 ★,4★,Medium,Low,70,75,81,90,59,60
J. Brandt,212194,23,84,"6'1""",183lbs,Right,CAM,$45.8M,$106K,80,77,54,86,78,86,77,59,81,86,78,85,81,83,83,81,64,79,71,80,39,47,80,85,54,82,44,55,57,4 ★,4★,High,Medium,82,77,82,85,50,66
D. Mertens,175943,32,87,"5'7""",134lbs,Right,CF,$45.2M,$153K,79,86,40,82,70,91,82,79,74,89,93,83,94,88,92,80,59,73,39,81,59,36,87,83,79,81,25,40,40,4 ★,4★,High,Low,88,83,80,91,35,53
L. Goretzka,209658,24,84,"6'2""",168lbs,Right,CAM,$45.2M,$130K,75,76,80,84,68,81,76,75,79,84,84,78,76,84,70,79,74,86,75,83,80,79,79,82,60,80,72,74,73,4 ★,3★,High,Medium,81,77,80,81,75,79
M. Depay,202556,25,84,"5'9""",172lbs,Right,CAM,$44.6M,$124K,83,80,65,81,74,84,85,86,74,84,87,87,81,80,79,87,74,81,80,81,75,28,83,85,71,78,29,31,20,3 ★,5★,High,Low,87,81,82,83,32,79
S. de Vrij,198176,27,85,"6'2""",172lbs,Right,CB,$44.1M,$108K,49,25,82,73,27,66,45,16,71,71,65,66,62,81,59,65,76,65,78,60,80,86,32,64,41,82,88,87,85,4 ★,2★,Medium,High,66,41,62,68,86,75
L. Modrić,177003,33,89,"5'8""",146lbs,Right,CM,$44.1M,$362K,86,72,55,91,76,87,85,78,88,92,77,71,91,88,92,79,68,84,58,82,62,79,78,90,82,92,68,74,71,4 ★,4★,High,Medium,74,76,88,89,71,66
A. Gómez,143076,31,86,"5'6""",150lbs,Right,CAM,$44.1M,$113K,83,80,38,83,72,85,82,79,74,85,94,85,92,85,94,76,70,70,46,81,56,40,82,87,72,85,50,30,34,4 ★,4★,High,Medium,89,79,82,86,39,55
M. Kovačić,207410,25,84,"5'9""",176lbs,Right,CM,$43.5M,$164K,73,61,42,90,76,88,78,68,82,89,78,73,87,82,84,79,63,79,63,75,77,74,72,83,59,81,70,73,66,4 ★,4★,High,High,75,69,82,88,69,70
G. Wijnaldum,181291,28,85,"5'9""",152lbs,Right,CM,$42.9M,$170K,69,74,77,87,73,85,77,67,81,88,78,76,84,86,88,78,81,93,74,71,75,79,79,79,74,86,78,78,69,4 ★,4★,High,High,77,74,79,86,77,79
T. Partey,209989,26,84,"6'1""",170lbs,Right,CDM,$42.9M,$92K,74,68,68,85,56,83,69,70,83,83,69,75,75,84,50,85,83,91,81,84,83,84,73,83,49,84,81,85,81,3 ★,3★,Medium,High,72,73,81,81,82,84
Piqué,152729,32,88,"6'4""",187lbs,Right,CB,$42.9M,$316K,57,65,85,83,57,63,58,43,81,82,49,66,57,85,36,62,75,70,87,51,80,89,64,72,69,87,89,87,86,3 ★,2★,High,Medium,58,61,72,68,88,81
Pizzi,197965,29,85,"5'10""",159lbs,Right,RM,$42.4M,$32K,82,79,45,86,78,83,83,77,83,85,82,73,77,84,77,76,67,88,59,78,68,70,87,86,78,85,69,67,52,4 ★,3★,High,Medium,77,79,84,83,65,68
L. Hernández,220814,23,84,"6'0""",168lbs,Left,CB,$42.4M,$119K,78,53,82,79,46,65,59,39,63,79,79,79,70,85,68,62,85,79,79,51,86,83,62,63,42,76,81,84,86,3 ★,2★,High,High,79,54,70,71,83,81
T. Müller,189596,29,85,"6'1""",165lbs,Right,CAM,$42.4M,$175K,79,85,81,82,84,75,81,59,74,81,68,68,73,90,71,78,77,86,67,80,61,58,92,85,60,84,47,57,46,4 ★,3★,High,High,68,82,80,77,56,71
G. Bale,173731,29,85,"6'1""",181lbs,Left,RW,$42.4M,$283K,87,83,84,80,85,82,90,87,79,85,89,91,79,79,65,92,84,73,77,89,65,59,83,79,76,85,54,55,52,3 ★,4★,Medium,Medium,90,86,82,82,58,74
J. Henderson,183711,29,85,"6'0""",176lbs,Right,CM,$41.8M,$170K,82,69,65,86,71,78,80,74,87,84,67,66,69,86,70,77,77,91,76,72,82,84,78,83,64,78,80,82,76,3 ★,3★,High,High,66,72,84,79,80,81
A. Onana,226753,23,85,"6'3""",205lbs,Right,GK,$41.8M,$27K,15,12,20,33,13,26,30,17,32,38,64,62,68,84,53,66,80,39,78,17,32,15,11,64,27,61,12,18,14,3 ★,1★,Medium,Medium,85,80,88,85,63,82
O. Dembélé,231443,22,83,"5'10""",148lbs,Left,LM,$41.2M,$198K,81,76,43,78,76,89,82,64,76,85,94,93,89,78,83,83,59,69,52,77,54,36,77,76,75,80,42,30,33,5 ★,5★,High,Medium,93,78,77,87,36,57
W. Ndidi,226790,22,84,"6'0""",163lbs,Right,CB,$41.2M,$108K,50,50,76,79,66,73,58,58,75,77,70,72,69,84,67,80,90,92,77,68,87,89,67,67,55,80,87,88,85,4 ★,3★,Medium,High,71,62,68,74,86,83
T. Alderweireld,184087,30,86,"6'1""",179lbs,Right,CB,$40.7M,$158K,64,45,82,79,38,62,63,69,85,75,60,65,59,85,62,78,82,78,79,58,81,86,52,62,58,86,88,89,86,3 ★,2★,Medium,Medium,63,55,72,67,87,79
M. Neuer,167495,33,89,"6'4""",203lbs,Right,GK,$40.7M,$181K,15,13,25,55,11,30,14,11,59,46,54,60,51,86,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,4 ★,1★,Medium,Medium,87,87,91,87,57,86
Paulinho,187961,30,85,"6'0""",176lbs,Right,CM,$40.1M,$53K,67,85,85,83,75,83,66,75,77,84,74,71,70,82,81,83,92,92,82,80,81,80,84,84,71,81,80,79,75,4 ★,4★,High,High,72,82,78,82,80,85
E. Cavani,179813,32,86,"6'1""",170lbs,Right,ST,$40.1M,$170K,68,87,89,75,88,75,75,76,52,79,74,76,74,88,59,88,88,90,79,77,84,54,92,75,85,80,57,48,39,4 ★,3★,High,High,75,85,70,76,55,83
J. Vardy,208830,32,86,"5'10""",163lbs,Right,ST,$40.1M,$181K,68,91,78,69,82,77,65,57,48,79,86,88,72,89,75,87,78,79,68,64,87,49,92,73,83,87,56,50,53,3 ★,3★,High,High,87,84,66,78,55,75
Oyarzabal,230142,22,83,"5'11""",172lbs,Left,CAM,$40.1M,$48K,82,85,60,81,73,85,74,71,73,84,80,84,81,81,79,80,72,83,57,81,52,29,83,81,83,75,55,32,30,3 ★,3★,High,Medium,82,82,79,84,41,63
Jordi Alba,189332,30,86,"5'7""",150lbs,Left,LB,$39.6M,$249K,86,73,70,84,60,81,80,63,79,85,90,88,91,84,85,64,81,89,61,66,77,82,83,78,59,82,74,82,83,3 ★,3★,High,Medium,89,69,81,84,79,72
Fabián,226271,23,83,"6'2""",154lbs,Left,CM,$39.6M,$86K,72,79,67,81,67,85,75,59,81,85,68,63,72,83,66,75,46,78,69,83,68,77,82,84,67,77,70,78,75,4 ★,4★,Medium,Medium,65,78,78,83,74,70
